CrimeRate,Location
45.5,Northern
52.3,Northern
56.6,Southern
60.3,Southern
64.2,Northern
67.6,Northern
70.5,Northern
73.2,Northern
75,Northern
78.1,Northern
79.8,Southern
82.3,Northern
83.1,Northern
84.9,Northern
85.6,Southern
88,Northern
92.3,Northern
94.3,Northern
95.3,Northern
96.8,Southern
97.4,Southern
98.7,Southern
99.9,Southern
103,Southern
104.3,Northern
105.9,Northern
106.6,Southern
107.2,Northern
108.3,Northern
109.4,Southern
112.1,Southern
114.3,Southern
115.1,Northern
117.2,Northern
119.7,Northern
121.6,Southern
123.4,Southern
127.2,Northern
132.4,Northern
135.5,Northern
137.8,Northern
140.8,Northern
145.4,Southern
149.3,Northern
154.3,Northern
157.7,Northern
161.8,Northern
