participant,reszone,educ
1,4,1
2,4,1
3,4,3
4,4,1
5,4,1
6,4,1
7,4,1
8,4,1
9,4,1
10,4,2
11,4,1
12,4,1
13,4,1
14,4,1
15,4,1
16,4,1
17,4,2
18,4,1
19,4,1
20,4,1
21,3,5
22,3,3
23,3,3
24,3,2
25,3,3
26,3,5
27,3,3
28,3,4
29,3,3
30,3,4
31,3,3
32,3,4
33,3,3
34,3,4
35,3,4
36,3,4
37,3,4
38,3,5
39,3,4
40,3,4
41,1,4
42,1,4
43,1,4
44,1,4
45,1,5
46,1,5
47,1,4
48,1,4
49,1,4
50,1,5
51,1,4
52,1,4
53,1,4
54,1,3
55,1,5
56,1,5
57,1,1
58,1,4
59,1,5
60,1,5
61,2,4
62,2,3
63,2,4
64,2,5
65,2,4
66,2,3
67,2,4
68,2,3
69,2,1
70,2,4
71,2,4
72,2,5
73,2,4
74,2,2
75,2,4
76,2,3
77,2,4
78,2,4
79,2,4
80,2,4
